Tmix,s	Tmix,days	Voltage,V	Power,W	Heat,J	Power/SCM,W/g	Heat/SCM,J/g
9175	0.1061921296296296	0.01115	0.1327	2760.0	0.001745714399202498	36.30875464807004
9235	0.1068865740740741	0.0111	0.1321	2768.0	0.001737821191670309	36.41399741516589
9295	0.1075810185185185	0.01104	0.1315	2776.0	0.00172992798413812	36.51924018226175
9355	0.108275462962963	0.01099	0.1308	2784.0	0.001720719242017232	36.62448294935761
9415	0.1089699074074074	0.01094	0.1303	2792.0	0.001714141569073741	36.72972571645347
9475	0.1096643518518518	0.01089	0.1297	2800.0	0.001706248361541552	36.83496848354932
9535	0.1103587962962963	0.01085	0.1291	2808.0	0.001698355154009363	36.94021125064517
9595	0.1110532407407407	0.0108	0.1286	2815.0	0.001691777481065872	37.03229867185404
9655	0.1117476851851852	0.01076	0.1281	2823.0	0.001685199808122381	37.1375414389499
9715	0.1124421296296296	0.01072	0.1276	2831.0	0.00167862213517889	37.24278420604576
9775	0.1131365740740741	0.01068	0.1271	2838.0	0.001672044462235399	37.33487162725463
9835	0.1138310185185185	0.01064	0.1267	2846.0	0.001666782323880607	37.44011439435049
9895	0.114525462962963	0.0106	0.1262	2853.0	0.001660204650937116	37.53220181555936
9955	0.1152199074074074	0.01056	0.1258	2861.0	0.001654942512582323	37.63744458265521
10015	0.1159143518518519	0.01053	0.1253	2869.0	0.001648364839638832	37.74268734975107
10075	0.1166087962962963	0.01049	0.1249	2876.0	0.001643102701284039	37.83477477095994
10135	0.1173032407407407	0.01046	0.1245	2884.0	0.001637840562929246	37.9400175380558
10195	0.1179976851851852	0.01043	0.1241	2891.0	0.001632578424574454	38.03210495926467
10255	0.1186921296296296	0.0104	0.1238	2898.0	0.001628631820808359	38.12419238047354
10315	0.1193865740740741	0.01036	0.1234	2906.0	0.001623369682453566	38.2294351475694
10375	0.1200810185185185	0.01034	0.1231	2913.0	0.001619423078687472	38.32152256877827
10435	0.120775462962963	0.01031	0.1227	2921.0	0.001614160940332679	38.42676533587413
10495	0.1214699074074074	0.01028	0.1224	2928.0	0.001610214336566584	38.518852757083
10555	0.1221643518518519	0.01025	0.122	2935.0	0.001604952198211792	38.61094017829188
10615	0.1228587962962963	0.01022	0.1217	2943.0	0.001601005594445697	38.71618294538773
10675	0.1235532407407407	0.01019	0.1214	2950.0	0.001597058990679603	38.8082703665966
10735	0.1242476851851852	0.01017	0.1211	2957.0	0.001593112386913508	38.90035778780548
10795	0.1249421296296296	0.01014	0.1208	2964.0	0.001589165783147413	38.99244520901435
10855	0.1256365740740741	0.01012	0.1205	2972.0	0.001585219179381319	39.0976879761102
10915	0.1263310185185185	0.01009	0.1202	2979.0	0.001581272575615224	39.18977539731907
10975	0.127025462962963	0.01007	0.1199	2986.0	0.00157732597184913	39.28186281852795
11035	0.1277199074074074	0.01004	0.1196	2993.0	0.001573379368083035	39.37395023973682
11095	0.1284143518518518	0.01002	0.1193	3000.0	0.001569432764316941	39.46603766094569
11155	0.1291087962962963	0.009994	0.119	3008.0	0.001565486160550846	39.57128042804155
11215	0.1298032407407407	0.009970999999999999	0.1187	3015.0	0.001561539556784751	39.66336784925043
11275	0.1304976851851852	0.009947	0.1184	3022.0	0.001557592953018657	39.7554552704593
11335	0.1311921296296296	0.009925	0.1182	3029.0	0.00155496188384126	39.84754269166817
11395	0.1318865740740741	0.009902	0.1179	3036.0	0.001551015280075166	39.93963011287705
11455	0.1325810185185185	0.00988	0.1176	3043.0	0.001547068676309071	40.03171753408592
11515	0.133275462962963	0.009858	0.1174	3050.0	0.001544437607131675	40.12380495529479
11575	0.1339699074074074	0.009837	0.1171	3057.0	0.00154049100336558	40.21589237650367
11635	0.1346643518518519	0.009816	0.1169	3064.0	0.001537859934188184	40.30797979771254
11695	0.1353587962962963	0.009795	0.1166	3071.0	0.001533913330422089	40.40006721892141
11755	0.1360532407407407	0.009773	0.1164	3078.0	0.001531282261244693	40.49215464013029
